शि	shi
शी	shi
शु	shu
शू	shu
शे	she
शै	shai
शो	sho
शौ	shau
शं	shn
षा	sha
षि	shi
षी	shi
षु	shu
षू	shu
षे	she
षै	shai
षो	sho
षौ	shau
षं	shn
सा	sa
सि	si
सी	si
सु	su
सू	su
से	se
सै	sai
सो	so
सौ	sau
सं	sn
हा	ha
हि	hi
ही	hi
हु	hu
हू	hu
हे	he
है	hai
हो	ho
हौ	hau
हं	hn
क्	k
ख्	kh
ग्	g
घ्	gh
च्	ch
ज्	j
झ्	jh
ट्	t
ठ्	th
ड्	d
ढ्	dh
ण्	n
त्	t
थ्	th
द्	d
ध्	dh
न्	n
प्	p
फ्	ph
ब्	b
भ्	bh
म्	m
य्	y
र्	r
ल्	l
व्	v
श्	sh
ष्	sh
स्	s
ह्	h
अ	a
आ	a
इ	i
ई	i
उ	u
ऊ	u
ए	e
ऐ	ai
ओ	o
औ	au
क	k
ख	kh
ग	g
घ	gh
च	ch
ज	j
झ	jh
ट	t
ठ	th
ड	d
ढ	dh
ण	n
त	t
थ	th
द	d
ध	dh
न	n
प	p
फ	ph
ब	b
भ	bh
म	m
य	y
र	r
ल	l
व	v
श	sh
ष	sh
स	s
ह	h
